date,count
2021-01-14, 0
2021-01-15, 10
2021-01-15, 281
2021-01-16, 17419
2021-01-17, 17419
2021-01-18, 17419
2021-01-19, 17419
2021-01-20, 17889
2021-01-21, 17889
2021-01-22, 17889
2021-01-24, 17889
2021-01-25, 17889
2021-01-26, 17891
2021-01-27, 17891
2021-01-28, 17891
2021-01-29, 17891
2021-01-30, 17891
2021-02-01, 17891
2021-02-02, 17891
2021-02-03, 17891
2021-02-04, 17891
2021-02-05, 17891
2021-02-06, 17891
2021-02-07, 17891
2021-02-08, 17891
2021-02-09, 17891
2021-02-10, 17891
2021-02-12, 26351
2021-02-13, 26351
2021-02-14, 26351
2021-02-15, 26351
2021-02-16, 26351
2021-02-17, 26351
2021-02-18, 26351
2021-02-19, 26351
2021-02-20, 26351
2021-02-21, 26351
2021-02-22, 26351
2021-02-23, 26351
2021-02-24, 26351
2021-02-25, 26351
2021-02-26, 26351
2021-02-27, 26351
2021-02-28, 26351
2021-03-01, 26351
2021-03-02, 26351
2021-03-03, 26351
2021-03-04, 26351
2021-03-05, 26351
2021-03-06, 26351
2021-03-07, 26351
2021-03-08, 26351
2021-03-09, 26351
2021-03-10, 26351
2021-03-11, 26351
2021-03-12, 26351
2021-03-13, 26351
2021-03-14, 26351
2021-03-15, 26351
2021-03-16, 26351
2021-03-17, 26351
2021-03-18, 26351
2021-03-19, 26351
2021-03-20, 26351
2021-03-21, 26351
2021-03-22, 26351
2021-03-23, 25552
2021-03-24, 25552
2021-03-25, 25552
2021-03-26, 25552
2021-03-27, 25552
2021-03-28, 25552
2021-03-29, 25552
2021-03-30, 25552
2021-03-31, 25552
2021-04-01, 25552
2021-04-02, 25552
2021-04-03, 25552
2021-04-04, 25552
2021-04-05, 25552
2021-04-06, 25552
2021-04-07, 25552
2021-04-08, 25552
2021-04-09, 25556
2021-04-10, 20811
2021-04-11, 20921
2021-04-12, 27669
2021-04-13, 32675
2021-04-14, 32488
2021-04-15, 32743
2021-04-16, 32743
2021-04-17, 32743
2021-04-18, 32743
2021-04-19, 32743
2021-04-20, 32743
2021-04-21, 32743
2021-04-22, 32743
2021-04-23, 32743
2021-04-24, 32743
2021-04-25, 32743
2021-04-26, 32743
2021-04-27, 32743
2021-04-28, 32743
2021-04-29, 32743
2021-04-30, 32743
2021-05-01, 32743
2021-05-02, 32743
2021-05-03, 32743
2021-05-04, 32743
2021-05-05, 32743
2021-05-06, 32743
2021-05-07, 32743
2021-05-08, 32743
2021-05-09, 32743
2021-05-10, 32743
2021-05-11, 32743
2021-05-12, 32743
2021-05-13, 32743
2021-05-14, 32743
2021-05-16, 32743
2021-05-17, 32743
2021-05-18, 32743
2021-05-19, 32743
2021-05-20, 32743
2021-05-21, 32743
2021-05-23, 32743
2021-05-24, 32743
2021-05-25, 32743
2021-05-26, 32743
2021-05-27, 32743
2021-05-28, 32743
2021-05-31, 32837
2021-06-01, 32837
2021-06-02, 32859
2021-06-03, 32859
2021-06-04, 32859
2021-06-05, 32859
2021-06-07, 32859
2021-06-08, 32859
2021-06-09, 32859
2021-06-11, 32859
2021-06-14, 32859
2021-06-15, 32859
2021-06-16, 33575
2021-06-17, 37178
2021-06-18, 37178
2021-06-19, 37178
2021-06-20, 37178
2021-06-21, 37178
2021-06-22, 37178
2021-06-23, 37178
2021-06-24, 37178
2021-06-25, 37178
2021-06-26, 37178
2021-06-27, 37178
2021-06-28, 37178
2021-06-29, 37178
2021-06-30, 37178
2021-07-01, 37178
2021-07-02, 37178
2021-07-03, 37178
2021-07-04, 37178
2021-07-05, 37178
2021-07-06, 37178
2021-07-07, 41191
2021-07-08, 41191
2021-07-09, 41191
2021-07-10, 41425
2021-07-12, 41518
2021-07-13, 40381
2021-07-14, 40381
2021-07-16, 40381
2021-07-20, 40381
2021-07-21, 40381
2021-07-22, 40381
2021-07-23, 40381
2021-07-24, 40381
2021-07-25, 40381
2021-07-26, 40381
2021-07-27, 40381
2021-07-28, 40381
2021-07-29, 40381
2021-07-30, 40381
2021-07-31, 40381
2021-08-02, 40381
2021-08-03, 40381
2021-08-04, 40381
2021-08-05, 40381
2021-08-06, 40381
2021-08-07, 40381
2021-08-08, 40381
2021-08-09, 40381
2021-08-10, 40381
2021-08-11, 40446
2021-08-12, 40446
2021-08-13, 40446
2021-08-16, 40446
2021-08-19, 40446
2021-08-20, 40446
2021-08-21, 40446
2021-08-22, 40446
2021-08-23, 40446
2021-08-24, 40446
2021-08-25, 40446
2021-08-26, 40446
2021-08-27, 40446
2021-08-31, 40446
2021-09-01, 40446
2021-09-02, 40446
2021-09-03, 40446
2021-09-04, 40446
2021-09-05, 40446
2021-09-06, 40446
2021-09-07, 40446
2021-09-08, 40446
2021-09-09, 40446
2021-09-10, 40446
2021-09-11, 40446
2021-09-13, 40446
2021-09-14, 40446
2021-09-15, 40446
2021-09-16, 40446
2021-09-17, 40446
2021-09-18, 40446
2021-09-20, 40446
2021-09-21, 40446
2021-09-24, 40446
2021-09-25, 40446
2021-09-27, 40446
2021-09-28, 40446
2021-09-29, 40446
2021-10-01, 40446
2021-10-02, 40446
2021-10-04, 40446
2021-10-06, 40446
2021-10-08, 40446
2021-10-09, 40446
2021-10-11, 40446
2021-10-12, 40446
2021-10-13, 40446
2021-10-15, 40446
2021-10-16, 40446
2021-10-17, 40446
2021-10-18, 40446
2021-10-19, 40446
2021-10-20, 40446
2021-10-22, 40446
2021-10-23, 40446
2021-10-25, 40446
2021-10-26, 40446
2021-10-27, 40446
2021-10-29, 40446
2021-10-30, 40446
2021-10-31, 40446
2021-11-01, 40446
2021-11-02, 40446
2021-11-04, 40446
2021-11-05, 40446
2021-11-08, 40446
2021-11-09, 40446
2021-11-10, 40446
2021-11-11, 40446
2021-11-12, 40446
2021-11-15, 40446
2021-11-16, 40446
2021-11-17, 40446
2021-11-18, 40446
2021-11-19, 40446
2021-11-22, 40446
2021-11-23, 40446
2021-11-24, 40446
2021-11-25, 40446
2021-11-26, 40446
2021-11-29, 40446
2021-11-30, 40446
2021-12-01, 40446
2021-12-02, 40446
2021-12-03, 40446
2021-12-04, 40446
2021-12-06, 40446
2021-12-07, 40446
2021-12-08, 40446
2021-12-09, 40446
2021-12-10, 40446
2021-12-11, 40446
2021-12-12, 40446
2021-12-13, 40446
2021-12-14, 40446
2021-12-15, 40446
2021-12-16, 40446
2021-12-17, 40446
2021-12-18, 40446
2021-12-19, 40446
2021-12-20, 40446
2021-12-21, 40446
2021-12-22, 40446
2021-12-31, 40446
2022-01-01, 40446
2022-01-02, 40446
2022-01-04, 40446
2022-01-05, 40446
2022-01-06, 40446
2022-01-07, 40446
2022-01-08, 40446
2022-01-09, 40446
2022-01-10, 40446
2022-01-11, 40446
2022-01-12, 40446
2022-01-13, 40446
2022-01-14, 40446
2022-01-17, 40446
2022-01-18, 40446
2022-01-19, 40446
2022-01-20, 40446
2022-01-21, 40446
2022-01-22, 40446
2022-01-24, 40446
2022-01-25, 40446
2022-01-26, 40446
2022-01-27, 33812
